"word","formal","lazy","keyer","usage","hint"
"email","ema","ema","","10","email = ema (ema)  [2]"
"google","gugl","gugl","","10","google = gugl (gugl)  [2]"
"subnet","snet","snet","","10","subnet =  snet (snet)  [1]"
"emailed","emad","emad","","11","emailed = emad (emad)  [3]"
"emailing","emag","emag","","12","emailing = emag (emag)  [4]"
"emails","emas","emas","","13","emails = emas (emas)  [2]"
"workload","rklod","rklod","","133","workload = rklod (rklod)  [3]"
"workloads","rklods","rklods","","133","workloads = rklods (rklods)  [3]"
"tweaking","twekg","twekg","","672","tweaking = twekg (twekg)  [3]"
"tweaks","tweks","tweks","","672","tweaks = tweks (tweks)  [1]"
"tweak","twek","twek","","672","tweak = twek (twek)  [1]"
"tweaked","twekd","twekd","","672","tweaked = twekd (twekd)  [2]"
"gamified","gamfd","gamfd","","1374","gamified = gamfd (gamfd)  [3]"
"gamifing","gamfg","gamfg","","1374","gamifing = gamfg (gamfg)  [3]"
"gamify","gamf","gamf","","1374","gamify = gamf (gamf)  [2]"
"automations","otmazs","otmazs","","12226","automations = otmazs (otmazs)  [5]"
"ansible","ansb","ansbo","o","12226","ansible = ansbo (ansb)  [2]"
"ansibles","ansbs","ansbs","","12226","ansibles = ansbs (ansbs)  [3]"
"automate","otmat","otmat","","12226","automate = otmat (otmat)  [3]"
"automated","otmatd","otmatd","","12226","automated = otmatd (otmatd)  [3]"
"automates","otmats","otmats","","12226","automates = otmats (otmats)  [3]"
"automating","otmatg","otmatg","","12226","automating = otmatg (otmatg)  [4]"
"automation","otmaz","otmaz","","12226","automation = otmaz (otmaz)  [5]"
"containerization","ktnrz","ktnrz","","31584","containerization = ktnrz (ktnrz)  [11]"
